target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs,archived_acc_test,absolute_difference,source_presence
1D3G-BRE,MSE,gradinput,70,0.5155306122448978,175.0,89.0,0.5464489795918369,0.03091836734693909,both
1D3G-BRE,MSE,gradinput,75,0.603872053872054,99.0,51.0,0.5104377104377105,0.09343434343434354,both
1D3G-BRE,MSE,gradinput,80,0.6551282051282051,65.0,34.0,0.4871794871794871,0.16794871794871802,both
1D3G-BRE,MSE,gradinput,85,0.6846846846846846,37.0,20.0,0.4234234234234234,0.2612612612612612,both
1D3G-BRE,MSE,gradinput,90,0.6944444444444444,18.0,10.0,0.2777777777777778,0.41666666666666663,both
1D3G-BRE,MSE,gradinput,95,0.6666666666666666,6.0,4.0,0.1666666666666666,0.5,both
1D3G-BRE,MSE,ig,50,0.6205129366757274,215.0,109.0,0.5715482063156483,0.04896473036007909,both
1D3G-BRE,MSE,ig,55,0.6205129366757274,215.0,109.0,0.5715482063156483,0.04896473036007909,both
1D3G-BRE,MSE,ig,60,0.6205129366757274,215.0,109.0,0.5715482063156483,0.04896473036007909,both
1D3G-BRE,MSE,ig,65,0.6256405607928451,197.0,100.0,0.5781625171219081,0.047478043670937,both
1D3G-BRE,MSE,ig,70,0.6318163265306125,175.0,89.0,0.5917346938775513,0.040081632653061194,both
1D3G-BRE,MSE,ig,75,0.6377104377104376,99.0,51.0,0.6819865319865318,0.04427609427609425,both
1D3G-BRE,MSE,ig,80,0.6441025641025641,65.0,34.0,0.7176923076923075,0.07358974358974346,both
1D3G-BRE,MSE,ig,85,0.6936936936936936,37.0,20.0,0.7162162162162162,0.022522522522522626,both
1D3G-BRE,MSE,ig,90,0.8611111111111112,18.0,10.0,0.7222222222222222,0.13888888888888895,both
1D3G-BRE,MSE,ig,95,1.0,6.0,4.0,0.8333333333333334,0.16666666666666663,both
1D3G-BRE,MSE,shap,50,0.48126094835397176,215.0,109.0,0.4958934863586026,0.014632538004630824,both
1D3G-BRE,MSE,shap,55,0.48126094835397176,215.0,109.0,0.4958934863586026,0.014632538004630824,both
1D3G-BRE,MSE,shap,60,0.48126094835397176,215.0,109.0,0.4958934863586026,0.014632538004630824,both
1D3G-BRE,MSE,shap,65,0.4727036499879142,197.0,100.0,0.4950568044476674,0.02235315445975322,both
1D3G-BRE,MSE,shap,70,0.47831972789115673,175.0,89.0,0.4966258503401361,0.01830612244897939,both
1D3G-BRE,MSE,shap,75,0.5010101010101009,99.0,51.0,0.5111111111111111,0.010101010101010166,both
1D3G-BRE,MSE,shap,80,0.5230769230769231,65.0,34.0,0.5356410256410256,0.012564102564102453,both
1D3G-BRE,MSE,shap,85,0.5180180180180181,37.0,20.0,0.527027027027027,0.009009009009008917,both
1D3G-BRE,MSE,shap,90,0.4722222222222222,18.0,10.0,0.6388888888888888,0.16666666666666663,both
1D3G-BRE,MSE,shap,95,0.5,6.0,4.0,0.6666666666666666,0.16666666666666663,both
1D7X-SPC,MSE,cam,50,0.5192828734127849,1247.0,634.0,0.5269641899015548,0.007681316488769907,both
1D7X-SPC,MSE,cam,55,0.5205343664780041,1171.0,596.0,0.5278142272377961,0.007279860759792034,both
1D7X-SPC,MSE,cam,60,0.5195743778022258,1027.0,524.0,0.5255268290078414,0.005952451205615605,both
1D7X-SPC,MSE,cam,65,0.5227920667166478,716.0,368.0,0.529402212467855,0.006610145751207219,both
1D7X-SPC,MSE,cam,70,0.518977677651147,539.0,277.0,0.5234377300703832,0.0044600524192361934,both
1D7X-SPC,MSE,cam,75,0.5141067987888797,346.0,178.0,0.516969446738233,0.002862647949353314,both
1D7X-SPC,MSE,cam,80,0.5195360195360195,195.0,102.0,0.5201465201465201,0.0006105006105006083,both
1D7X-SPC,MSE,cam,85,0.5185185185185185,90.0,48.0,0.5111111111111111,0.007407407407407418,both
1D7X-SPC,MSE,cam,90,0.5576923076923077,26.0,14.0,0.5576923076923077,0.0,both
1D7X-SPC,MSE,cam,95,0.5,4.0,2.0,0.5,0.0,both
1D7X-SPC,MSE,diff,50,0.652497718149094,1247.0,634.0,0.6410721981577502,0.01142551999134378,both
1D7X-SPC,MSE,diff,55,0.6509157753801642,1171.0,596.0,0.6356572437737369,0.015258531606427317,both
1D7X-SPC,MSE,diff,60,0.6613313847247675,1027.0,524.0,0.6426127669798556,0.018718617744911903,both
1D7X-SPC,MSE,diff,65,0.6764686973485857,716.0,368.0,0.6401228969664722,0.03634580038211355,both
1D7X-SPC,MSE,diff,70,0.6787582959197062,539.0,277.0,0.6447078792162279,0.0340504167034783,both
1D7X-SPC,MSE,diff,75,0.6799006789613725,346.0,178.0,0.6461544637122673,0.03374621524910526,both
1D7X-SPC,MSE,diff,80,0.686923076923077,195.0,102.0,0.65006105006105,0.036862026862027,both
1D7X-SPC,MSE,diff,85,0.6814814814814815,90.0,48.0,0.6296296296296297,0.051851851851851816,both
1D7X-SPC,MSE,diff,90,0.6346153846153846,26.0,14.0,0.6346153846153846,0.0,both
1D7X-SPC,MSE,diff,95,1.0,4.0,2.0,1.0,0.0,both
1D7X-SPC,MSE,gradcam,50,0.6116143586818102,1247.0,634.0,0.5918195922096001,0.019794766472210124,both
1D7X-SPC,MSE,gradcam,55,0.6147532632914667,1171.0,596.0,0.5898430630057699,0.024910200285696793,both
1D7X-SPC,MSE,gradcam,60,0.6164827355917926,1027.0,524.0,0.5916580633474499,0.024824672244342705,both
1D7X-SPC,MSE,gradcam,65,0.6279711520633314,716.0,368.0,0.589561819310422,0.038409332752909475,both
1D7X-SPC,MSE,gradcam,70,0.6296602387511488,539.0,277.0,0.5888738966661046,0.04078634208504428,both
1D7X-SPC,MSE,gradcam,75,0.6392983301220294,346.0,178.0,0.5924201761629508,0.04687815395907857,both
1D7X-SPC,MSE,gradcam,80,0.6470085470085472,195.0,102.0,0.6152747252747252,0.031733821733822,both
1D7X-SPC,MSE,gradcam,85,0.6314814814814813,90.0,48.0,0.5935185185185184,0.037962962962962865,both
1D7X-SPC,MSE,gradcam,90,0.5769230769230769,26.0,14.0,0.5384615384615384,0.038461538461538436,both
1D7X-SPC,MSE,gradcam,95,0.75,4.0,2.0,0.75,0.0,both
1D7X-SPC,MSE,gradinput,50,0.5992490383477657,1247.0,634.0,0.5342277433195326,0.06502129502823306,both
1D7X-SPC,MSE,gradinput,55,0.597372407137186,1171.0,596.0,0.5312990991276269,0.06607330800955913,both
1D7X-SPC,MSE,gradinput,60,0.6048990066516827,1027.0,524.0,0.5278553859858632,0.07704362066581949,both
1D7X-SPC,MSE,gradinput,65,0.6105996114376012,716.0,368.0,0.5113319447467489,0.0992676666908523,both
1D7X-SPC,MSE,gradinput,70,0.615426729526916,539.0,277.0,0.5050303592511386,0.11039637027577742,both
1D7X-SPC,MSE,gradinput,75,0.613609046701532,346.0,178.0,0.5059179741260666,0.1076910725754654,both
1D7X-SPC,MSE,gradinput,80,0.6144444444444446,195.0,102.0,0.507741147741148,0.10670329670329659,both
1D7X-SPC,MSE,gradinput,85,0.6009259259259259,90.0,48.0,0.4861111111111112,0.11481481481481465,both
1D7X-SPC,MSE,gradinput,90,0.5192307692307693,26.0,14.0,0.4423076923076923,0.07692307692307698,both
1D7X-SPC,MSE,gradinput,95,0.5,4.0,2.0,0.75,0.25,both
1D7X-SPC,MSE,ig,50,0.6242440757191029,1247.0,634.0,0.594989099513983,0.029254976205119854,both
1D7X-SPC,MSE,ig,55,0.6228122326008759,1171.0,596.0,0.5947826250288928,0.02802960757198314,both
1D7X-SPC,MSE,ig,60,0.6302333796248114,1027.0,524.0,0.5974960558212719,0.03273732380353955,both
1D7X-SPC,MSE,ig,65,0.6317926370649829,716.0,368.0,0.6064018073794604,0.02539082968552253,both
1D7X-SPC,MSE,ig,70,0.6362206748106561,539.0,277.0,0.6176096373220684,0.018611037488587723,both
1D7X-SPC,MSE,ig,75,0.6267708046609782,346.0,178.0,0.6239735296816227,0.0027972749793555574,both
1D7X-SPC,MSE,ig,80,0.6427594627594629,195.0,102.0,0.622197802197802,0.020561660561660977,both
1D7X-SPC,MSE,ig,85,0.6527777777777778,90.0,48.0,0.5962962962962963,0.056481481481481466,both
1D7X-SPC,MSE,ig,90,0.6730769230769231,26.0,14.0,0.6346153846153846,0.03846153846153855,both
1D7X-SPC,MSE,ig,95,0.75,4.0,2.0,1.0,0.25,both
1D7X-SPC,MSE,shap,50,0.516896053839114,1247.0,634.0,0.4940442107039465,0.02285184313516747,both
1D7X-SPC,MSE,shap,55,0.5185410897352679,1171.0,596.0,0.491516083560339,0.027025006174928923,both
1D7X-SPC,MSE,shap,60,0.5205641567131344,1027.0,524.0,0.4918845354580509,0.0286796212550835,both
1D7X-SPC,MSE,shap,65,0.5219041472183928,716.0,368.0,0.4982123207332704,0.02369182648512247,both
1D7X-SPC,MSE,shap,70,0.5207774806105044,539.0,277.0,0.4979087187807043,0.022868761829800133,both
1D7X-SPC,MSE,shap,75,0.5200385356454722,346.0,178.0,0.4819639416460226,0.038074593999449624,both
1D7X-SPC,MSE,shap,80,0.52008547008547,195.0,102.0,0.4620024420024419,0.05808302808302812,both
1D7X-SPC,MSE,shap,85,0.5342592592592593,90.0,48.0,0.4305555555555556,0.10370370370370374,both
1D7X-SPC,MSE,shap,90,0.5192307692307693,26.0,14.0,0.5,0.019230769230769273,both
1D7X-SPC,MSE,shap,95,0.75,4.0,2.0,0.25,0.5,both
1D8M-BBH,MSE,cam,50,0.62,50.0,31.0,0.62,0.0,both
1D8M-BBH,MSE,cam,55,0.6304347826086957,46.0,29.0,0.6304347826086957,0.0,both
1D8M-BBH,MSE,cam,60,0.6304347826086957,46.0,29.0,0.6304347826086957,0.0,both
1D8M-BBH,MSE,cam,65,0.6363636363636364,44.0,28.0,0.6363636363636364,0.0,both
1D8M-BBH,MSE,cam,70,0.65,40.0,26.0,0.65,0.0,both
1D8M-BBH,MSE,cam,75,0.6785714285714286,28.0,19.0,0.6785714285714286,0.0,both
1D8M-BBH,MSE,cam,80,0.6666666666666666,18.0,12.0,0.6666666666666666,0.0,both
1D8M-BBH,MSE,cam,85,0.7,10.0,7.0,0.7,0.0,both
1D8M-BBH,MSE,cam,90,0.75,4.0,3.0,0.75,0.0,both
1D8M-BBH,MSE,cam,95,,0.0,0.0,,,both
1D8M-BBH,MSE,diff,50,0.530274225774226,50.0,31.0,0.5855428460428461,0.05526862026862012,both
1D8M-BBH,MSE,diff,55,0.5274719845372021,46.0,29.0,0.5842253157470548,0.05675333120985271,both
1D8M-BBH,MSE,diff,60,0.5274719845372021,46.0,29.0,0.5842253157470548,0.05675333120985271,both
1D8M-BBH,MSE,diff,65,0.5257010035419128,44.0,28.0,0.583285779876689,0.0575847763347761,both
1D8M-BBH,MSE,diff,70,0.5267559523809526,40.0,26.0,0.6025992063492064,0.07584325396825375,both
1D8M-BBH,MSE,diff,75,0.5315051020408164,28.0,19.0,0.5953656462585034,0.06386054421768705,both
1D8M-BBH,MSE,diff,80,0.5518518518518518,18.0,12.0,0.5870370370370371,0.03518518518518532,both
1D8M-BBH,MSE,diff,85,0.6333333333333333,10.0,7.0,0.6,0.033333333333333326,both
1D8M-BBH,MSE,diff,90,0.625,4.0,3.0,0.375,0.25,both
1D8M-BBH,MSE,diff,95,,0.0,0.0,,,both
1D8M-BBH,MSE,gradcam,50,0.6145622155622155,50.0,31.0,0.6338956043956044,0.019333388833388976,both
1D8M-BBH,MSE,gradcam,55,0.6109371908284951,46.0,29.0,0.6401039178213092,0.029166726992814085,both
1D8M-BBH,MSE,gradcam,60,0.6109371908284951,46.0,29.0,0.6401039178213092,0.029166726992814085,both
1D8M-BBH,MSE,gradcam,65,0.6131190148235602,44.0,28.0,0.644724025974026,0.03160501115046577,both
1D8M-BBH,MSE,gradcam,70,0.6335218253968253,40.0,26.0,0.6591964285714286,0.02567460317460324,both
1D8M-BBH,MSE,gradcam,75,0.6320153061224489,28.0,19.0,0.6881377551020408,0.056122448979591844,both
1D8M-BBH,MSE,gradcam,80,0.6203703703703705,18.0,12.0,0.6666666666666666,0.04629629629629617,both
1D8M-BBH,MSE,gradcam,85,0.6166666666666667,10.0,7.0,0.7,0.08333333333333326,both
1D8M-BBH,MSE,gradcam,90,0.75,4.0,3.0,0.75,0.0,both
1D8M-BBH,MSE,gradcam,95,,0.0,0.0,,,both
1D8M-BBH,MSE,gradinput,50,0.5109366744366743,50.0,31.0,0.6078616938616939,0.09692501942501952,both
1D8M-BBH,MSE,gradinput,55,0.5034335833248876,46.0,29.0,0.6090887976757543,0.10565521435086667,both
1D8M-BBH,MSE,gradinput,60,0.5034335833248876,46.0,29.0,0.6090887976757543,0.10565521435086667,both
1D8M-BBH,MSE,gradinput,65,0.5069272268135904,44.0,28.0,0.6143652433425161,0.1074380165289257,both
1D8M-BBH,MSE,gradinput,70,0.5303472222222222,40.0,26.0,0.6303472222222222,0.09999999999999998,both
1D8M-BBH,MSE,gradinput,75,0.5401785714285714,28.0,19.0,0.6687500000000001,0.12857142857142867,both
1D8M-BBH,MSE,gradinput,80,0.5,18.0,12.0,0.6555555555555556,0.15555555555555556,both
1D8M-BBH,MSE,gradinput,85,0.4666666666666666,10.0,7.0,0.7,0.23333333333333334,both
1D8M-BBH,MSE,gradinput,90,0.625,4.0,3.0,0.75,0.125,both
1D8M-BBH,MSE,gradinput,95,,0.0,0.0,,,both
1D8M-BBH,MSE,ig,50,0.5697310467310467,50.0,31.0,0.6388635253635253,0.06913247863247862,both
1D8M-BBH,MSE,ig,55,0.5673405097318139,46.0,29.0,0.63976711694103,0.07242660720921601,both
1D8M-BBH,MSE,ig,60,0.5673405097318139,46.0,29.0,0.63976711694103,0.07242660720921601,both
1D8M-BBH,MSE,ig,65,0.5654745507018233,44.0,28.0,0.6376967729240456,0.0722222222222223,both
1D8M-BBH,MSE,ig,70,0.5640674603174601,40.0,26.0,0.6435119047619048,0.07944444444444465,both
1D8M-BBH,MSE,ig,75,0.5541666666666666,28.0,19.0,0.6847789115646259,0.1306122448979593,both
1D8M-BBH,MSE,ig,80,0.4962962962962963,18.0,12.0,0.6814814814814816,0.18518518518518529,both
1D8M-BBH,MSE,ig,85,0.4333333333333333,10.0,7.0,0.7666666666666667,0.3333333333333334,both
1D8M-BBH,MSE,ig,90,0.375,4.0,3.0,0.75,0.375,both
1D8M-BBH,MSE,ig,95,,0.0,0.0,,,both
1D8M-BBH,MSE,shap,50,0.5752374847374846,50.0,31.0,0.4818015318015318,0.0934359529359528,both
1D8M-BBH,MSE,shap,55,0.5881204544248021,46.0,29.0,0.4802190563060127,0.1079013981187894,both
1D8M-BBH,MSE,shap,60,0.5881204544248021,46.0,29.0,0.4802190563060127,0.1079013981187894,both
1D8M-BBH,MSE,shap,65,0.5819542830906465,44.0,28.0,0.4823396300669026,0.09961465302374384,both
1D8M-BBH,MSE,shap,70,0.5795436507936506,40.0,26.0,0.5017857142857143,0.07775793650793628,both
1D8M-BBH,MSE,shap,75,0.6284863945578232,28.0,19.0,0.5283163265306122,0.10017006802721096,both
1D8M-BBH,MSE,shap,80,0.5972222222222223,18.0,12.0,0.5074074074074074,0.0898148148148149,both
1D8M-BBH,MSE,shap,85,0.6583333333333333,10.0,7.0,0.6166666666666666,0.04166666666666674,both
1D8M-BBH,MSE,shap,90,0.75,4.0,3.0,0.5,0.25,both
1D8M-BBH,MSE,shap,95,,0.0,0.0,,,both
1DB4-8IN,MSE,cam,50,0.5267513538841172,4314.0,2200.0,0.5762300700463834,0.04947871616226618,both
1DB4-8IN,MSE,cam,55,0.5263249871059432,4232.0,2159.0,0.5748552758369443,0.04853028873100107,both
1DB4-8IN,MSE,cam,60,0.5259588059612779,4048.0,2067.0,0.5720730994137623,0.04611429345248441,both
1DB4-8IN,MSE,cam,65,0.5282773653510365,3665.0,1875.0,0.5697038500380945,0.04142648468705801,both
1DB4-8IN,MSE,cam,70,0.5310199019269819,2486.0,1283.0,0.5701080161458278,0.03908811421884595,both
1DB4-8IN,MSE,cam,75,0.5362686952037136,1385.0,726.0,0.573383187209902,0.03711449200618844,both
1DB4-8IN,MSE,cam,80,0.5348214285714286,784.0,419.0,0.5674319727891156,0.032610544217687054,both
1DB4-8IN,MSE,cam,85,0.5466666666666667,450.0,245.0,0.5631481481481482,0.01648148148148143,both
1DB4-8IN,MSE,cam,90,0.5633946830265848,163.0,96.0,0.5756646216768916,0.012269938650306789,both
1DB4-8IN,MSE,cam,95,0.6206896551724138,29.0,21.0,0.5517241379310345,0.06896551724137934,both
1DB4-8IN,MSE,diff,50,0.5638728051956783,4314.0,2200.0,0.5592533130244597,0.004619492171218598,both
1DB4-8IN,MSE,diff,55,0.5644711654639517,4232.0,2159.0,0.5597452479103479,0.004725917553603853,both
1DB4-8IN,MSE,diff,60,0.5658879644181044,4048.0,2067.0,0.5606813311852837,0.005206633232820668,both
1DB4-8IN,MSE,diff,65,0.5673735601975746,3665.0,1875.0,0.5654148383070626,0.0019587218905119386,both
1DB4-8IN,MSE,diff,70,0.57757556312464,2486.0,1283.0,0.5871336337748256,0.009558070650185657,both
1DB4-8IN,MSE,diff,75,0.6033505243252527,1385.0,726.0,0.6207254598590328,0.01737493553378011,both
1DB4-8IN,MSE,diff,80,0.6204719387755104,784.0,419.0,0.6649022108843543,0.04443027210884387,both
1DB4-8IN,MSE,diff,85,0.6490000000000006,450.0,245.0,0.708888888888889,0.059888888888888436,both
1DB4-8IN,MSE,diff,90,0.7065439672801636,163.0,96.0,0.7903885480572598,0.08384458077709622,both
