target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1D8M-BBH,MSE,shap,90,0.75,4,3
1D8M-BBH,MSE,shap,95,,0,0
1DB4-8IN,MSE,cam,50,0.5267513538841172,4314,2200
1DB4-8IN,MSE,cam,55,0.5263249871059432,4232,2159
1DB4-8IN,MSE,cam,60,0.5259588059612779,4048,2067
1DB4-8IN,MSE,cam,65,0.5282773653510365,3665,1875
1DB4-8IN,MSE,cam,70,0.5310199019269819,2486,1283
1DB4-8IN,MSE,cam,75,0.5362686952037136,1385,726
1DB4-8IN,MSE,cam,80,0.5348214285714286,784,419
1DB4-8IN,MSE,cam,85,0.5466666666666667,450,245
1DB4-8IN,MSE,cam,90,0.5633946830265848,163,96
1DB4-8IN,MSE,cam,95,0.6206896551724138,29,21
1DB4-8IN,MSE,diff,50,0.5638728051956783,4314,2200
1DB4-8IN,MSE,diff,55,0.5644711654639517,4232,2159
1DB4-8IN,MSE,diff,60,0.5658879644181044,4048,2067
1DB4-8IN,MSE,diff,65,0.5673735601975746,3665,1875
1DB4-8IN,MSE,diff,70,0.57757556312464,2486,1283
1DB4-8IN,MSE,diff,75,0.6033505243252527,1385,726
1DB4-8IN,MSE,diff,80,0.6204719387755104,784,419
1DB4-8IN,MSE,diff,85,0.6490000000000006,450,245
1DB4-8IN,MSE,diff,90,0.7065439672801636,163,96
1DB4-8IN,MSE,diff,95,0.7586206896551724,29,21
1DB4-8IN,MSE,gradcam,50,0.5073731598005051,4314,2200
1DB4-8IN,MSE,gradcam,55,0.5090255346402517,4232,2159
1DB4-8IN,MSE,gradcam,60,0.5139186475031353,4048,2067
1DB4-8IN,MSE,gradcam,65,0.5189715021979706,3665,1875
1DB4-8IN,MSE,gradcam,70,0.5327756794470401,2486,1283
1DB4-8IN,MSE,gradcam,75,0.5620311156953752,1385,726
1DB4-8IN,MSE,gradcam,80,0.5936224489795925,784,419
1DB4-8IN,MSE,gradcam,85,0.6310370370370368,450,245
1DB4-8IN,MSE,gradcam,90,0.6728016359918201,163,96
1DB4-8IN,MSE,gradcam,95,0.7586206896551724,29,21
1DB4-8IN,MSE,gradinput,50,0.46049816740953076,4314,2200
1DB4-8IN,MSE,gradinput,55,0.4606725479275622,4232,2159
1DB4-8IN,MSE,gradinput,60,0.4630353993558012,4048,2067
1DB4-8IN,MSE,gradinput,65,0.46589761383076256,3665,1875
1DB4-8IN,MSE,gradinput,70,0.47889325968569596,2486,1283
1DB4-8IN,MSE,gradinput,75,0.49939745573319694,1385,726
