target,explainer,acc_test_mcs50
1OYN-4RR,diff,0.5835241692214508
1OYN-4RR,gradcam,0.5788915948895216
1OYN-4RR,gradinput,0.5092469760397114
1OYN-4RR,ig,0.6949436231612548
1OYN-4RR,shap,0.5576112751393048
1P2A-5BN,cam,0.5
1P2A-5BN,diff,0.5875036075036075
1P2A-5BN,gradcam,0.56758658008658
1P2A-5BN,gradinput,0.39223665223665216
1P2A-5BN,ig,0.6811038961038961
1P2A-5BN,shap,0.5529040404040404
1PYE-PM1,cam,0.48054694738368203
1PYE-PM1,diff,0.7530456504946301
1PYE-PM1,gradcam,0.23262185660144838
1PYE-PM1,gradinput,0.564608633996389
1PYE-PM1,ig,0.4420400461216788
1PYE-PM1,shap,0.5846988612294736
1Q3W-ATU,cam,0.535402759234535
1Q3W-ATU,diff,0.5373794689215251
1Q3W-ATU,gradcam,0.41661103693813967
1Q3W-ATU,gradinput,0.49905429461504225
1Q3W-ATU,ig,0.6462653908915591
1Q3W-ATU,shap,0.5461244622459576
1Q4L-679,cam,0.5274725274725275
1Q4L-679,diff,0.5787545787545787
1Q4L-679,gradcam,0.554029304029304
1Q4L-679,gradinput,0.5421245421245422
1Q4L-679,ig,0.7573260073260072
1Q4L-679,shap,0.634720041862899
1Q6K-TCO,cam,0.5131578947368421
1Q6K-TCO,diff,0.7000835421888053
1Q6K-TCO,gradcam,0.5347117794486216
1Q6K-TCO,gradinput,0.4859962406015037
1Q6K-TCO,ig,0.4934210526315789
1Q6K-TCO,shap,0.603889933166249
1R0E-DFN,cam,0.5030538940383279
1R0E-DFN,diff,0.617971409922988
1R0E-DFN,gradcam,0.48957800157253906
1R0E-DFN,gradinput,0.5148701056624332
1R0E-DFN,ig,0.5217498297615705
1R0E-DFN,shap,0.5301276302836122
1RDT-570,cam,0.5168535853721039
1RDT-570,diff,0.5102376078969932
1RDT-570,gradcam,0.5468613232100791
1RDT-570,gradinput,0.39556731591188654
1RDT-570,ig,0.5403965445660779
1RDT-570,shap,0.527243949094941
1RHR-CNE,cam,0.5257936507936508
1RHR-CNE,diff,0.5086279461279462
1RHR-CNE,gradcam,0.6353415103415104
1RHR-CNE,gradinput,0.4996993746993746
1RHR-CNE,ig,0.5707972582972582
1RHR-CNE,shap,0.5030844155844156
1RNE-C60,cam,0.5677155823095427
1RNE-C60,diff,0.5586652268468545
1RNE-C60,gradcam,0.5265150433257549
1RNE-C60,gradinput,0.5192405825091672
1RNE-C60,ig,0.5087862842200513
1RWQ-5AP,cam,0.5927232447171097
1RWQ-5AP,diff,0.6044162041094556
1RWQ-5AP,gradcam,0.35894439575421166
1RWQ-5AP,gradinput,0.4688528581166618
1RWQ-5AP,ig,0.519967864446392
1RWQ-5AP,shap,0.5281770376862401
1S63-778,cam,0.5469383991528038
1S63-778,diff,0.5658911355537716
1S63-778,gradcam,0.4825792780356669
1S63-778,gradinput,0.485368313488259
1S63-778,ig,0.5498885544375544
1S63-778,shap,0.5050524422713656
1SA4-JAN,cam,0.49494949494949503
1SA4-JAN,diff,0.6266674683341349
1SA4-JAN,gradcam,0.48704304954304944
1SA4-JAN,gradinput,0.4629449254449255
1SA4-JAN,ig,0.5562109187109187
1SA4-JAN,shap,0.5553421115921116
1T69-SHH,cam,0.5
1T69-SHH,diff,0.7186247394580726
1T69-SHH,gradcam,0.6506025867136978
1T69-SHH,gradinput,0.6809523809523809
1T69-SHH,ig,0.7548086686975576
1T69-SHH,shap,0.6039388594944151
1TFQ-998,cam,0.6341948310139165
1TFQ-998,diff,0.5671824321353617
1TFQ-998,gradcam,0.46026444984607773
1TFQ-998,gradinput,0.5284190700150821
1TFQ-998,ig,0.6297087902806533
1TFQ-998,shap,0.4961593074021444
1TFT-997,cam,0.5135135135135135
1TFT-997,diff,0.5403942903942903
1TFT-997,gradcam,0.6640692640692639
1TFT-997,gradinput,0.5859151359151359
1TFT-997,ig,0.5572774072774073
1TFT-997,shap,0.4643315393315394
1TU6-FSP,cam,0.5
1TU6-FSP,diff,0.5404823835039636
1TU6-FSP,gradcam,0.5460516394487593
1TU6-FSP,gradinput,0.5731043847013071
1TU6-FSP,ig,0.5345562748688767
1TU6-FSP,shap,0.5309625005333413
1UDT-VIA,cam,0.5429960497105718
1UDT-VIA,diff,0.6302481795272608
1UDT-VIA,gradcam,0.5873186148215424
1UDT-VIA,gradinput,0.5242965099333595
1UDT-VIA,ig,0.5577061690913758
1UDT-VIA,shap,0.5193359003845203
1UDU-CIA,cam,0.5087329603696084
1UDU-CIA,diff,0.6685782692919932
1UDU-CIA,gradcam,0.47604692622155065
1UDU-CIA,gradinput,0.6782923546175017
1UDU-CIA,ig,0.6383300078386963
1UDU-CIA,shap,0.5043497721590049
1UHO-VDN,cam,0.555392490595151
1UHO-VDN,diff,0.6332778252808503
1UHO-VDN,gradcam,0.5659969935010478
1UHO-VDN,gradinput,0.572538412477657
1UHO-VDN,ig,0.6153727752341585
1UHO-VDN,shap,0.5213053147495227
1UMT-0DS,cam,0.49846169519152406
1UMT-0DS,diff,0.6131315116563817
1UMT-0DS,gradcam,0.49449128804234893
1UMT-0DS,gradinput,0.4935988414090445
1UMT-0DS,ig,0.5635000363919914
1UMT-0DS,shap,0.523865076767932
1UZF-X8Z,cam,0.5982671150904234
1UZF-X8Z,diff,0.646239985995625
1UZF-X8Z,gradcam,0.64092341451364
1UZF-X8Z,gradinput,0.6460523290410508
1UZF-X8Z,ig,0.563465179348638
1UZF-X8Z,shap,0.5525587194760126
1VYW-292,cam,0.5070422535211268
1VYW-292,diff,0.6231653225491254
1VYW-292,gradcam,0.5140347231016245
1VYW-292,gradinput,0.38521503926433504
1VYW-292,ig,0.6222175613900967
1VYW-292,shap,0.5485050942797421
1W0X-OLO,cam,0.5226602784402227
1W0X-OLO,diff,0.6303420663689179
1W0X-OLO,gradcam,0.528253514047898
1W0X-OLO,gradinput,0.6230043603123442
1W0X-OLO,ig,0.6348712678463416
1W0X-OLO,shap,0.49915918177531315
1X0N-DTF,cam,0.4936507936507937
1X0N-DTF,diff,0.6721710219528785
1X0N-DTF,gradcam,0.6813358723224077
1X0N-DTF,gradinput,0.6054796691587725
1X0N-DTF,ig,0.60354408204002
1X0N-DTF,shap,0.47223715245661235
1X8B-824,cam,0.5574940188369448
1X8B-824,diff,0.7014275772131088
1X8B-824,gradcam,0.664115461791105
1X8B-824,gradinput,0.5044166841048894
1X8B-824,ig,0.6949198391462894
1X8B-824,shap,0.5414980246982869
1XJD-STO,cam,0.5053670854593884
1XJD-STO,diff,0.5025304856108986
1XJD-STO,gradcam,0.5710141478602054
1XJD-STO,gradinput,0.585755422786086
1XJD-STO,ig,0.5964799107164566
1XJD-STO,shap,0.5408708642907641
1XKK-FMM,cam,0.5
1XKK-FMM,diff,0.6286035572332417
1XKK-FMM,gradcam,0.6178841541258366
1XKK-FMM,gradinput,0.5508484872963755
1XKK-FMM,ig,0.7101556934342503
1XKK-FMM,shap,0.5185290581477218
1XOW-R18,cam,0.4883720930232558
1XOW-R18,diff,0.541358576823693
1XOW-R18,gradcam,0.5900964023057047
1XOW-R18,gradinput,0.6275939177101968
1XOW-R18,ig,0.5105148081892268
1XOW-R18,shap,0.5249602464718743
1XS7-MMI,cam,0.5268817204301075
1XS7-MMI,diff,0.5270454526147126
1XS7-MMI,gradcam,0.5496745225397976
1XS7-MMI,gradinput,0.5084935664869251
1XS7-MMI,ig,0.5701634580192455
1XS7-MMI,shap,0.5296560448125913
1Y91-CT9,cam,0.5292659417659418
1Y91-CT9,diff,0.585651648151648
1Y91-CT9,gradcam,0.6164530414530416
1Y91-CT9,gradinput,0.6206913581913581
1Y91-CT9,ig,0.6245245495245495
1Y91-CT9,shap,0.5227988477988478
1YHO-TOP,cam,0.5128205128205128
1YHO-TOP,diff,0.8242599992599994
1YHO-TOP,gradcam,0.6293142043142043
1YHO-TOP,gradinput,0.710996410996411
1YHO-TOP,ig,0.5237216487216487
1YHO-TOP,shap,0.5981490731490732
1YRS-L47,cam,0.5526315789473685
1YRS-L47,diff,0.37307140958456747
1YRS-L47,gradcam,0.45061517429938486
1YRS-L47,gradinput,0.4396910837700312
1YRS-L47,ig,0.355579763803448
1YRS-L47,shap,0.4841023012075645
1Z6E-IK8,cam,0.5181157194060421
1Z6E-IK8,diff,0.6143945877906729
1Z6E-IK8,gradcam,0.533238748279695
1Z6E-IK8,gradinput,0.5157421594019017
1Z6E-IK8,ig,0.6764759226536416
1Z6E-IK8,shap,0.518411000736228
1Z6J-PY3,cam,0.634217058157909
1Z6J-PY3,diff,0.6849023418235027
1Z6J-PY3,gradcam,0.5411700533848885
1Z6J-PY3,gradinput,0.542079388299581
1Z6J-PY3,ig,0.6233780695591408
1Z6J-PY3,shap,0.5342184298282154
1ZD2-NC3,cam,0.546877066903158
1ZD2-NC3,diff,0.6267206412604894
1ZD2-NC3,gradcam,0.6653717903433273
1ZD2-NC3,gradinput,0.4999173025477579
1ZD2-NC3,ig,0.6330881542029551
1ZD2-NC3,shap,0.533592368521211
1ZFQ-ZEC,cam,0.5
1ZFQ-ZEC,diff,0.5256709956709956
1ZFQ-ZEC,gradcam,0.5406517556517556
1ZFQ-ZEC,gradinput,0.506619769119769
1ZFQ-ZEC,ig,0.5376659451659452
1ZFQ-ZEC,shap,0.5835954785954786
1ZTQ-033,cam,0.4745762711864407
1ZTQ-033,diff,0.5169784906574537
1ZTQ-033,gradcam,0.4795899389742859
1ZTQ-033,gradinput,0.5598012738341751
1ZTQ-033,ig,0.5684102150203845
1ZTQ-033,shap,0.5353981553507974
2A4L-RRC,cam,0.5212627665741811
2A4L-RRC,diff,0.6443635475117317
2A4L-RRC,gradcam,0.4837536550361997
2A4L-RRC,gradinput,0.4786840559864956
2A4L-RRC,ig,0.6555092600290439
2A4L-RRC,shap,0.5232863207428352
2AEI-03R,cam,0.5916300536387146
2AEI-03R,diff,0.6348949588905561
2AEI-03R,gradcam,0.5888957870290967
2AEI-03R,gradinput,0.550000663647906
2AEI-03R,ig,0.6393068035793538
2AEI-03R,shap,0.5395856732724545
2AUX-CT1,cam,0.41818181818181815
2AUX-CT1,diff,0.7817387158296253
2AUX-CT1,gradcam,0.4379907970817062
2AUX-CT1,gradinput,0.41814246359700913
2AUX-CT1,ig,0.6610678715224168
2AUX-CT1,shap,0.5737946901583265
2AYP-43A,cam,0.6888888888888889
2AYP-43A,diff,0.655710076960077
2AYP-43A,gradcam,0.6443458393458392
2AYP-43A,gradinput,0.4479587542087542
2AYP-43A,ig,0.6163949013949014
2AYP-43A,shap,0.5517568542568543
2B36-5PP,cam,0.4375
2B36-5PP,diff,0.6860863095238096
2B36-5PP,gradcam,0.6180059523809525
2B36-5PP,gradinput,0.7249627976190476
2B36-5PP,ig,0.4843377976190476
2B36-5PP,shap,0.5505208333333333
2B52-D42,cam,0.5
2B52-D42,diff,0.7491563315667176
2B52-D42,gradcam,0.772430648395722
2B52-D42,gradinput,0.42197997570240214
2B52-D42,ig,0.8237325162072404
2B52-D42,shap,0.5929921921420083
2B53-D23,cam,0.48936170212765956
2B53-D23,diff,0.5166160081053698
2B53-D23,gradcam,0.6402566700439041
2B53-D23,gradinput,0.7187436676798379
2B53-D23,ig,0.7670803782505908
2B53-D23,shap,0.501063829787234
2B54-D05,cam,0.5805614675179893
2B54-D05,diff,0.7248708084164507
2B54-D05,gradcam,0.7064735404495389
2B54-D05,gradinput,0.6757058781601375
2B54-D05,ig,0.637113942411011
2B54-D05,shap,0.525489827024354
2B55-D31,cam,0.8055555555555556
2B55-D31,diff,0.6817676173681075
2B55-D31,gradcam,0.5723922614241242
2B55-D31,gradinput,0.6446590446590448
2B55-D31,ig,0.48852177461246094
2B55-D31,shap,0.5108187042623318
2BKT-RPF,cam,0.5202552536522003
2BKT-RPF,diff,0.5269334143379945
2BKT-RPF,gradcam,0.4110278199074786
2BKT-RPF,gradinput,0.4714728911013151
2BKT-RPF,ig,0.6349131971157117
2BKT-RPF,shap,0.48081274890603587
2BUB-FPB,cam,0.5250005902857954
2BUB-FPB,diff,0.5918930374631794
2BUB-FPB,gradcam,0.57115458281103
2BUB-FPB,gradinput,0.5188453465379068
2BUB-FPB,ig,0.5448847248122509
2BUB-FPB,shap,0.5182401228151299
2CJI-GSK,cam,0.6169537012990524
2CJI-GSK,diff,0.5959143572433795
2CJI-GSK,gradcam,0.5695846755885372
2CJI-GSK,gradinput,0.578635970827372
2CJI-GSK,ig,0.6527235423890605
2CJI-GSK,shap,0.5188170408038746
2CNF-F32,cam,0.5
2CNF-F32,diff,0.7110686932115504
2CNF-F32,gradcam,0.7153717760414188
2CNF-F32,gradinput,0.722082357127
2CNF-F32,ig,0.6557852068566353
2CNF-F32,shap,0.5341411069089641
2CNG-IZE,cam,0.5139949109414759
2CNG-IZE,diff,0.5580686761689054
2CNG-IZE,gradcam,0.5984518931653973
2CNG-IZE,gradinput,0.500439873704296
2CNG-IZE,ig,0.6380017021232487
2CNG-IZE,shap,0.5272361622132968
2CNH-IZB,cam,0.5
2CNH-IZB,diff,0.6924522183243114
2CNH-IZB,gradcam,0.7771494332540846
2CNH-IZB,gradinput,0.6293732430360338
2CNH-IZB,ig,0.48029257564141287
2CNH-IZB,shap,0.5451613147834078
2E2B-406,cam,0.5108543417366946
2E2B-406,diff,0.542884628143313
2E2B-406,gradcam,0.5676060741575045
2E2B-406,gradinput,0.6101934195567342
2E2B-406,ig,0.5788873456248361
2E2B-406,shap,0.5180589612547264
2E9N-76A,cam,0.5064138607414281
2E9N-76A,diff,0.6274645667283889
2E9N-76A,gradcam,0.6437381573096095
2E9N-76A,gradinput,0.42909272920237024
2E9N-76A,ig,0.5657553914778667
2E9N-76A,shap,0.5415392529679465
2E9P-77A,cam,0.5574314237370588
2E9P-77A,diff,0.6811553582391654
