target,loss,explainer,normalization,mcs,global_dir_test,n_pairs
1CKP-PVB,MSE+UCN,cam,signed_rank,50,0.7850467289719626,214
1CKP-PVB,MSE+UCN,cam,signed_rank,55,0.784037558685446,213
1CKP-PVB,MSE+UCN,cam,signed_rank,60,0.7788944723618091,199
1CKP-PVB,MSE+UCN,cam,signed_rank,65,0.7759562841530054,183
1CKP-PVB,MSE+UCN,cam,signed_rank,70,0.7851851851851852,135
1CKP-PVB,MSE+UCN,cam,signed_rank,75,0.7682926829268293,82
1CKP-PVB,MSE+UCN,cam,signed_rank,80,0.75,68
1CKP-PVB,MSE+UCN,cam,signed_rank,85,0.7608695652173914,46
1CKP-PVB,MSE+UCN,cam,signed_rank,90,0.7222222222222222,18
1CKP-PVB,MSE+UCN,cam,signed_rank,95,0.0,2
1CKP-PVB,MSE,diff,raw,50,0.7242990654205608,214
1CKP-PVB,MSE,diff,raw,55,0.7276995305164319,213
1CKP-PVB,MSE,diff,raw,60,0.7386934673366834,199
1CKP-PVB,MSE,diff,raw,65,0.73224043715847,183
1CKP-PVB,MSE,diff,raw,70,0.7481481481481481,135
1CKP-PVB,MSE,diff,raw,75,0.8658536585365854,82
1CKP-PVB,MSE,diff,raw,80,0.9117647058823529,68
1CKP-PVB,MSE,diff,raw,85,0.9130434782608695,46
1CKP-PVB,MSE,diff,raw,90,0.9444444444444444,18
1CKP-PVB,MSE,diff,raw,95,1.0,2
1CKP-PVB,MSE,diff,l1,50,0.7242990654205608,214
1CKP-PVB,MSE,diff,l1,55,0.7276995305164319,213
1CKP-PVB,MSE,diff,l1,60,0.7386934673366834,199
1CKP-PVB,MSE,diff,l1,65,0.73224043715847,183
1CKP-PVB,MSE,diff,l1,70,0.7481481481481481,135
1CKP-PVB,MSE,diff,l1,75,0.8658536585365854,82
1CKP-PVB,MSE,diff,l1,80,0.9117647058823529,68
1CKP-PVB,MSE,diff,l1,85,0.9130434782608695,46
1CKP-PVB,MSE,diff,l1,90,0.9444444444444444,18
1CKP-PVB,MSE,diff,l1,95,1.0,2
1CKP-PVB,MSE,diff,signed_rank,50,0.7476635514018691,214
1CKP-PVB,MSE,diff,signed_rank,55,0.7511737089201878,213
1CKP-PVB,MSE,diff,signed_rank,60,0.7587939698492462,199
1CKP-PVB,MSE,diff,signed_rank,65,0.7486338797814208,183
1CKP-PVB,MSE,diff,signed_rank,70,0.762962962962963,135
1CKP-PVB,MSE,diff,signed_rank,75,0.8780487804878049,82
1CKP-PVB,MSE,diff,signed_rank,80,0.9264705882352942,68
1CKP-PVB,MSE,diff,signed_rank,85,0.9347826086956522,46
1CKP-PVB,MSE,diff,signed_rank,90,0.8888888888888888,18
1CKP-PVB,MSE,diff,signed_rank,95,1.0,2
1CKP-PVB,MSE+AC,diff,raw,50,0.7523364485981309,214
1CKP-PVB,MSE+AC,diff,raw,55,0.755868544600939,213
1CKP-PVB,MSE+AC,diff,raw,60,0.7487437185929648,199
1CKP-PVB,MSE+AC,diff,raw,65,0.7377049180327869,183
1CKP-PVB,MSE+AC,diff,raw,70,0.7555555555555555,135
1CKP-PVB,MSE+AC,diff,raw,75,0.8414634146341463,82
1CKP-PVB,MSE+AC,diff,raw,80,0.8676470588235294,68
1CKP-PVB,MSE+AC,diff,raw,85,0.8695652173913043,46
1CKP-PVB,MSE+AC,diff,raw,90,0.8333333333333334,18
1CKP-PVB,MSE+AC,diff,raw,95,1.0,2
1CKP-PVB,MSE+AC,diff,l1,50,0.7476635514018691,214
1CKP-PVB,MSE+AC,diff,l1,55,0.7511737089201878,213
1CKP-PVB,MSE+AC,diff,l1,60,0.7386934673366834,199
1CKP-PVB,MSE+AC,diff,l1,65,0.726775956284153,183
1CKP-PVB,MSE+AC,diff,l1,70,0.7407407407407407,135
1CKP-PVB,MSE+AC,diff,l1,75,0.8292682926829268,82
1CKP-PVB,MSE+AC,diff,l1,80,0.8529411764705882,68
1CKP-PVB,MSE+AC,diff,l1,85,0.8695652173913043,46
1CKP-PVB,MSE+AC,diff,l1,90,0.8333333333333334,18
1CKP-PVB,MSE+AC,diff,l1,95,1.0,2
1CKP-PVB,MSE+AC,diff,signed_rank,50,0.7710280373831776,214
1CKP-PVB,MSE+AC,diff,signed_rank,55,0.7746478873239436,213
1CKP-PVB,MSE+AC,diff,signed_rank,60,0.7638190954773869,199
1CKP-PVB,MSE+AC,diff,signed_rank,65,0.7540983606557377,183
1CKP-PVB,MSE+AC,diff,signed_rank,70,0.762962962962963,135
1CKP-PVB,MSE+AC,diff,signed_rank,75,0.8658536585365854,82
1CKP-PVB,MSE+AC,diff,signed_rank,80,0.8823529411764706,68
1CKP-PVB,MSE+AC,diff,signed_rank,85,0.8913043478260869,46
1CKP-PVB,MSE+AC,diff,signed_rank,90,0.8888888888888888,18
1CKP-PVB,MSE+AC,diff,signed_rank,95,1.0,2
1CKP-PVB,MSE+UCN,diff,raw,50,0.7336448598130841,214
1CKP-PVB,MSE+UCN,diff,raw,55,0.7370892018779343,213
1CKP-PVB,MSE+UCN,diff,raw,60,0.7587939698492462,199
1CKP-PVB,MSE+UCN,diff,raw,65,0.7868852459016393,183
1CKP-PVB,MSE+UCN,diff,raw,70,0.8,135
1CKP-PVB,MSE+UCN,diff,raw,75,0.7560975609756098,82
1CKP-PVB,MSE+UCN,diff,raw,80,0.7352941176470589,68
1CKP-PVB,MSE+UCN,diff,raw,85,0.6956521739130435,46
1CKP-PVB,MSE+UCN,diff,raw,90,0.7777777777777778,18
1CKP-PVB,MSE+UCN,diff,raw,95,1.0,2
1CKP-PVB,MSE+UCN,diff,l1,50,0.7383177570093458,214
1CKP-PVB,MSE+UCN,diff,l1,55,0.7417840375586855,213
1CKP-PVB,MSE+UCN,diff,l1,60,0.7587939698492462,199
1CKP-PVB,MSE+UCN,diff,l1,65,0.7868852459016393,183
1CKP-PVB,MSE+UCN,diff,l1,70,0.8,135
1CKP-PVB,MSE+UCN,diff,l1,75,0.7439024390243902,82
1CKP-PVB,MSE+UCN,diff,l1,80,0.7352941176470589,68
1CKP-PVB,MSE+UCN,diff,l1,85,0.6956521739130435,46
1CKP-PVB,MSE+UCN,diff,l1,90,0.7777777777777778,18
1CKP-PVB,MSE+UCN,diff,l1,95,1.0,2
1CKP-PVB,MSE+UCN,diff,signed_rank,50,0.7476635514018691,214
1CKP-PVB,MSE+UCN,diff,signed_rank,55,0.7511737089201878,213
1CKP-PVB,MSE+UCN,diff,signed_rank,60,0.7688442211055276,199
1CKP-PVB,MSE+UCN,diff,signed_rank,65,0.7978142076502732,183
1CKP-PVB,MSE+UCN,diff,signed_rank,70,0.8,135
1CKP-PVB,MSE+UCN,diff,signed_rank,75,0.7195121951219512,82
1CKP-PVB,MSE+UCN,diff,signed_rank,80,0.7058823529411765,68
1CKP-PVB,MSE+UCN,diff,signed_rank,85,0.6521739130434783,46
1CKP-PVB,MSE+UCN,diff,signed_rank,90,0.7222222222222222,18
1CKP-PVB,MSE+UCN,diff,signed_rank,95,1.0,2
1CKP-PVB,MSE,gradcam,raw,50,0.897196261682243,214
1CKP-PVB,MSE,gradcam,raw,55,0.9014084507042254,213
1CKP-PVB,MSE,gradcam,raw,60,0.9045226130653267,199
1CKP-PVB,MSE,gradcam,raw,65,0.9016393442622951,183
1CKP-PVB,MSE,gradcam,raw,70,0.8888888888888888,135
